plant_power_kW,RO_perm_flow_gpm,UV1_flow_MGD,UV2_flow_MGD,RO_feed_flow_gpm
1049.894531,3420,3.532761574,3.452925205,5267.5
894.4535522,3387,3.283272743,3.203436375,5251.060059
1722.631592,6834,7.145359516,7.025605202,10413.91992
1695.761353,6853,7.225195885,7.115420818,10391.17969
1704.959595,6850,7.195257187,7.145359516,10402.39941
1353.650879,5114,5.339060783,5.189367294,7902.839844
1316.446533,5216,4.710348606,4.62053299,7819.909668
1662.611206,6874,7.165318966,7.015625477,10397.83984
1589.09021,6832,7.145359516,6.955748081,10368.16016
1653.768799,6832,7.155339241,7.03558445,10482.5293
1644.737549,6792,7.165318966,7.0555439,10474.43945
1642.681885,6883,7.215216637,7.03558445,10403.63965
1344.591675,5099,5.349040031,5.209326267,7836.399902
1362.404907,5273,4.760246754,4.650471687,7842.25
1598.385986,6819,7.175298214,6.885891438,10385.17969
1646.410522,6807,7.175298214,6.985686779,10357.83984
1616.451416,6777,7.125400543,7.015625477,10378.66992
1656.550537,6788,7.115420818,6.995666504,10432.67969
1725.052612,6789,7.095461845,6.965727806,10377.2002
1355.769653,5065,5.309122086,5.199347019,7848.569824
1288.807617,5238,4.790185452,4.67043066,7856.629883
1612.112305,6779,7.075502872,6.985686779,10418.91992
1657.581909,6772,7.085482121,6.915830135,10437.83984
1629.761475,6702,7.085482121,6.796075344,10333.22949
926.4858398,3327,3.462904692,3.413007021,5166.529785
888.5548706,3366,3.462904692,3.39304781,5218.600098
914.9196777,3350,3.462904692,3.373088837,5226.259766
930.4801636,3367,3.502822876,3.413007021,5231.949707
917.2370605,3350,3.49284339,3.403027534,5213.72998
972.6869507,3341,3.26331377,3.193456888,5209.649902
874.909668,3372,3.49284339,3.403027534,5198.379883
865.7346802,3348,3.49284339,3.422986507,5244.600098
840.2293091,3363,3.502822876,3.413007021,5189.149902
97.48831177,2,0,0,3.899999857
1633.209961,6808,7.115420818,6.965727806,10412.5293
1701.792725,6801,7.195257187,6.985686779,10387.4502
1622.358643,6808,7.065523148,6.985686779,10330.14941
1658.349365,6750,7.115420818,6.925809383,10369.4502
1631.728882,6732,7.0555439,6.975707054,10421.81934
1655.102051,6769,7.115420818,6.965727806,10464.7793
1638.996216,6765,7.0555439,6.875911713,10388.39941
1659.919922,6718,7.015625477,7.005645752,10329.22949
1700.376465,6666,7.045564175,6.835993767,10351.89941
1652.483032,6703,7.005645752,6.865931988,10321.16016
1645.168823,6661,6.975707054,6.895870686,10292.12988
1634.026001,6686,6.995666504,6.776116371,10259.87988
913.1264648,3355,3.49284339,3.413007021,5208.379883
262.4272156,5,1.397137403,1.496932864,10.10999966
